County,dem_house_2014,rep_house_2014,total_votes
CountyKit Carson,Vic Meyers (DEM)393,"Ken Buck (REP)2,439","Total2,980"
CountyLas Animas,"Vic Meyers (DEM)2,128","Ken Buck (REP)2,824","Total5,453"
CountyLincoln,Vic Meyers (DEM)307,"Ken Buck (REP)1,541","Total1,968"
CountyLogan,"Vic Meyers (DEM)1,535","Ken Buck (REP)5,688","Total7,604"
CountyMorgan,"Vic Meyers (DEM)2,081","Ken Buck (REP)6,083","Total8,620"
CountyOtero,"Vic Meyers (DEM)2,161","Ken Buck (REP)4,045","Total6,583"
CountyPhillips,Vic Meyers (DEM)331,"Ken Buck (REP)1,504","Total1,927"
CountyProwers,Vic Meyers (DEM)861,"Ken Buck (REP)2,887","Total3,945"
CountySedgwick,Vic Meyers (DEM)227,Ken Buck (REP)857,"Total1,168"
CountyWashington,Vic Meyers (DEM)228,"Ken Buck (REP)1,980","Total2,292"
CountyWeld,"Vic Meyers (DEM)26,283","Ken Buck (REP)57,667","Total89,432"
CountyYuma,Vic Meyers (DEM)525,"Ken Buck (REP)3,500","Total4,153"
CountyChaffee,"Irv Halter (DEM)3,944","Doug Lamborn (REP)4,604","Total8,548"
CountyEl Paso,"Irv Halter (DEM)90,050","Doug Lamborn (REP)132,735","Total222,785"
CountyFremont,"Irv Halter (DEM)6,374","Doug Lamborn (REP)10,370","Total16,744"
CountyPark,"Irv Halter (DEM)1,447","Doug Lamborn (REP)2,369","Total3,816"
CountyTeller,"Irv Halter (DEM)3,858","Doug Lamborn (REP)7,104","Total10,962"
CountyAdams,"Andrew Romanoff (DEM)13,303","Mike Coffman (REP)16,834","Total32,222"
CountyArapahoe,"Andrew Romanoff (DEM)89,508","Mike Coffman (REP)97,960","Total197,913"
CountyDouglas,"Andrew Romanoff (DEM)16,036","Mike Coffman (REP)28,673","Total46,305"
CountyAdams,"Ed Perlmutter (DEM)51,800","Don Ytterberg (REP)41,255","Total93,055"
CountyJefferson,"Ed Perlmutter (DEM)96,425","Don Ytterberg (REP)79,663","Total176,088"
