County,DEM_2012_house,REP_2012_house,total_votes
CountySaguache,"Sal Pace (DEM)1,602","Scott R. Tipton (REP)1,020","Total2,839"
CountySan Juan,Sal Pace (DEM)237,Scott R. Tipton (REP)205,Total481
CountySan Miguel,"Sal Pace (DEM)2,723","Scott R. Tipton (REP)1,153","Total4,099"
CountyAdams,Brandon Shaffer (DEM)828,"Cory Gardner (REP)2,253","Total3,378"
CountyArapahoe,Brandon Shaffer (DEM)883,"Cory Gardner (REP)2,487","Total3,621"
CountyBaca,Brandon Shaffer (DEM)492,"Cory Gardner (REP)1,386","Total1,985"
CountyBent,Brandon Shaffer (DEM)700,"Cory Gardner (REP)1,065","Total1,861"
CountyBoulder,"Brandon Shaffer (DEM)25,321","Cory Gardner (REP)16,875","Total44,389"
CountyCheyenne,Brandon Shaffer (DEM)141,Cory Gardner (REP)893,"Total1,078"
CountyCrowley,Brandon Shaffer (DEM)438,Cory Gardner (REP)922,"Total1,446"
CountyDouglas,"Brandon Shaffer (DEM)33,440","Cory Gardner (REP)66,692","Total105,104"
CountyElbert,"Brandon Shaffer (DEM)3,215","Cory Gardner (REP)9,586","Total13,565"
CountyKiowa,Brandon Shaffer (DEM)126,Cory Gardner (REP)633,Total781
CountyKit Carson,Brandon Shaffer (DEM)659,"Cory Gardner (REP)2,775","Total3,554"
CountyLas Animas,"Brandon Shaffer (DEM)3,464","Cory Gardner (REP)2,675","Total6,513"
CountyLincoln,Brandon Shaffer (DEM)434,"Cory Gardner (REP)1,678","Total2,204"
CountyLogan,"Brandon Shaffer (DEM)2,161","Cory Gardner (REP)6,412","Total8,917"
CountyMorgan,"Brandon Shaffer (DEM)3,176","Cory Gardner (REP)6,948","Total10,471"
CountyOtero,"Brandon Shaffer (DEM)3,413","Cory Gardner (REP)4,175","Total7,945"
CountyPhillips,Brandon Shaffer (DEM)445,"Cory Gardner (REP)1,662","Total2,178"
CountyProwers,"Brandon Shaffer (DEM)1,358","Cory Gardner (REP)3,108","Total4,656"
CountySedgwick,Brandon Shaffer (DEM)312,Cory Gardner (REP)925,"Total1,280"
CountyWashington,Brandon Shaffer (DEM)269,"Cory Gardner (REP)2,224","Total2,561"
CountyWeld,"Brandon Shaffer (DEM)43,881","Cory Gardner (REP)60,861","Total110,322"
CountyYuma,Brandon Shaffer (DEM)644,"Cory Gardner (REP)3,771","Total4,527"
CountyChaffee,0,"Doug Lamborn (REP)5,435","Total9,271"
CountyEl Paso,0,"Doug Lamborn (REP)169,359","Total262,575"
CountyFremont,0,"Doug Lamborn (REP)13,610","Total18,883"
CountyPark,0,"Doug Lamborn (REP)2,624","Total4,171"
CountyTeller,0,"Doug Lamborn (REP)8,611","Total12,337"
CountyAdams,"Joe Miklosi (DEM)17,914","Mike Coffman (REP)18,003","Total39,166"
CountyArapahoe,"Joe Miklosi (DEM)119,522","Mike Coffman (REP)112,778","Total248,461"
CountyDouglas,"Joe Miklosi (DEM)19,501","Mike Coffman (REP)33,157","Total55,287"
CountyAdams,"Ed Perlmutter (DEM)70,651","Joe Coors (REP)47,925","Total127,119"
CountyJefferson,"Ed Perlmutter (DEM)111,809","Joe Coors (REP)91,141","Total213,851"
